007590B8  Program entry point
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD088 "Consumed"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD094 "UsableInStore"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0A4 "Clickable"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD104 "RecipeItem1"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0F8 "RecipeItem2"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0EC "RecipeItem3"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0E0 "RecipeItem4"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0D4 "RecipeItem5"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0C8 "RecipeItem6"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0BC "RecipeItem7"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD0B0 "RecipeItem8"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD180 "RequiredItem1"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD170 "RequiredItem2"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD160 "RequiredItem3"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD150 "RequiredItem4"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD140 "RequiredItem5"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD130 "RequiredItem6"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD120 "RequiredItem7"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD110 "RequiredItem8"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD190 "RequiredChampion"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD1A4 "SpellName"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD1B0 "SpellLevel"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD1BC "SpellCharges"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD1CC "FlatCooldownMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD1DC "PercentCooldownMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD1F0 "FlatHPPoolMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD200 "PercentHPPoolMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD214 "FlatHPRegenMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD224 "PercentHPRegenMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD238 "PercentTenacityCharacterMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD254 "PercentTenacityItemMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD26C "PercentTenacityMasteryMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD288 "PercentTenacityRuneMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD2A0 "PercentTenacityCleanseMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD2BC "PercentSlowResistMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD2D4 "FlatMovementSpeedMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD2EC "PercentMovementSpeedMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD304 "PercentMultiplicativeMovementSpeedMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD32C "FlatArmorMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD33C "PercentArmorMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD34C "FlatArmorPenetrationMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD364 "PercentArmorPenetrationMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD380 "FlatSpellBlockMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD394 "PercentSpellBlockMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD3AC "FlatMagicPenetrationMod"
009C7991  COND: EDI: = 016C1704 "Data"
009C798F  COND: EBP: = 016CD3C4 "PercentMagicPenetrationMod"
